t, position, vel
9.2, 10.0, 0.0
9.22, 10.0, 0.0
9.24, 10.0, 0.0
9.26, 10.0, 0.0
9.28, 10.0, 0.0
9.3, 10.0, 0.0
9.32, 10.0, 0.0
9.34, 10.0, 0.0
9.36, 10.0, 0.0
9.38, 10.0, 0.0
9.4, 10.0, 0.0
9.42, 10.0, 0.0
9.44, 10.0, 0.0
9.46, 10.0, 0.0
9.48, 10.0, 0.0
9.5, 10.0, 0.0
9.52, 10.0, 0.0
9.54, 10.0, 0.0
9.56, 10.0, 0.0
9.58, 10.0, 0.0
9.6, 10.0, 0.0
9.62, 10.0, 0.0
9.64, 10.0, 0.0
9.66, 10.0, 0.0
9.68, 10.0, 0.0
9.7, 10.0, 0.0
9.72, 10.0, 0.0
9.74, 10.0, 0.0
9.76, 10.0, 0.0
9.78, 10.0, 0.0
9.8, 10.0, 0.0
9.82, 10.0, 0.0
9.84, 10.0, 0.0
9.86, 10.0, 0.0
9.88, 10.0, 0.0
9.9, 10.0, 0.0
9.92, 10.0, 0.0
9.94, 10.0, 0.0
9.96, 10.0, 0.0
9.98, 10.0, 0.0
